"","Interest.Group","Year","Total_Contributions","Party.Committee","Party_Committee_Contribution","Total_Party_Committee_Contribution_by_Year","Percent_Donated_to_Party_Committees"
"821","MICH PRIDE PAC",2010,800,"0",0,0,0
"822","MICH PRIDE PAC",2008,16175,"0",0,0,0
"823","MICH PRIDE PAC",2006,5575,"0",0,0,0
"824","MICH PRIDE PAC",2004,2075,"0",0,0,0
"825","MICH PRIDE PAC",2003,50,"0",0,0,0
"826","MICH PRIDE PAC",2002,325,"0",0,0,0
"827","MICH PRIDE PAC",2000,100,"0",0,0,0
"828","MICH PRIDE PAC",1999,250,"MICHIGAN HOUSE DEMOCRATIC FUND",250,250,1
"829","MICH PRIDE PAC",1998,450,"0",0,0,0
"830","MICH PRIDE PAC",1996,2700,"0",0,0,0
"831","MICHIGAN PRIDE",2010,34550,"0",0,0,0
"832","MICHIGAN PRIDE",2008,12637.75,"0",0,0,0
"833","MICHIGAN PRIDE",2006,8010,"0",0,0,0
"834","MICHIGAN PRIDE",2004,2350,"0",0,0,0
"835","MICHIGAN PRIDE",2002,1350,"MICHIGAN HOUSE DEMOCRATIC FUND",100,100,0.0740740740740741
"836","MICHIGAN PRIDE",2000,900,"0",0,0,0
"837","MICHIGAN PRIDE",1998,150,"0",0,0,0
"838","MID COLUMBIA PFLAG",2004,145,"0",0,0,0
"839","MID-COAST FOR MAINE EQUALITY",2009,100,"MAINE DEMOCRATIC PARTY",100,100,1
"840","MID-COAST FOR MARRIAGE EQUALITY",2012,5042.38,"0",0,0,0
"841","MID-COAST WONT DISCRIMINATE",2005,4000,"0",0,0,0
"842","MIDWEST BISEXUAL LESBIAN GAY TRANSGENDER & ALLY COLLEGE CONFERENCE",2006,1000,"0",0,0,0
"843","MINNESOTA DEMOCRATIC LESBIAN/GAY CAUCUS",1998,50,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",50,50,1
"844","MINNESOTA UNITED PAC",2014,29000,"0",0,0,0
"845","MINNESOTA UNITED PAC",2013,30000,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",20000,30000,1
"846","MINNESOTA UNITED PAC",2013,30000,"DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA",10000,30000,1
"847","MINNESOTANS UNITED FOR ALL FAMILIES",2014,1000,"0",0,0,0
"848","MINNESOTANS UNITED FOR ALL FAMILIES",2012,290366,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",15900,15900,0.0547584772321828
"849","MONTCALM COUNTY REPUBLICANS",2000,1500,"0",0,0,0
"850","NASAU COUNTY LESBIAN & GAY DEMOCRATS",2002,200,"0",0,0,0
"851","NASSAU COUNTY LESBIAN & GAY DEMOCART",2002,200,"0",0,0,0
"852","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2010,1050,"0",0,0,0
"853","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2008,750,"0",0,0,0
"854","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2004,475,"0",0,0,0
"855","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2002,975,"0",0,0,0
"856","NASSAU COUNTY LESBIAN & GAY DEMOCRATS",2000,275,"0",0,0,0
"857","NATIONAL CENTER FOR LESBIAN RIGHTS",2008,50000,"0",0,0,0
"858","NATIONAL CENTER FOR LESBIAN RIGHTS",2004,6000,"0",0,0,0
"859","NATIONAL GAY & LESBIAN TASK FORCE",2012,304143.82,"0",0,0,0
"860","NATIONAL GAY & LESBIAN TASK FORCE",2009,174011.72,"0",0,0,0
"861","NATIONAL GAY & LESBIAN TASK FORCE",2008,303148.78,"0",0,0,0
"862","NATIONAL GAY & LESBIAN TASK FORCE",2006,37768.94,"0",0,0,0
"863","NATIONAL GAY & LESBIAN TASK FORCE",2005,236357.57,"0",0,0,0
"864","NATIONAL GAY & LESBIAN TASK FORCE",2004,789358,"0",0,0,0
"865","NATIONAL GAY & LESBIAN TASK FORCE ACTION FUND",2012,5000,"0",0,0,0
"866","NATIONAL LOG CABIN REPUBLICANS",2012,500,"0",0,0,0
"867","NATIONAL LOG CABIN REPUBLICANS",2009,300,"0",0,0,0
"868","NATIONAL RAINBOW COALITION",2000,2000,"0",0,0,0
"869","NATIONAL STONEWALL DEMOCRATS",2006,2500,"0",0,0,0
"870","NEW HAMPSHIRE STONEWALL DEMOCRATS",2010,750,"CMTE TO ELECT HOUSE DEMOCRATS OF NEW HAMPSHIRE",250,550,0.733333333333333
"871","NEW HAMPSHIRE STONEWALL DEMOCRATS",2010,750,"NEW HAMPSHIRE DEMOCRATIC SENATE CAUCUS",200,550,0.733333333333333
"872","NEW HAMPSHIRE STONEWALL DEMOCRATS",2010,750,"NEW HAMPSHIRE DEMOCRATIC PARTY",100,550,0.733333333333333
"873","NEW HAMPSHIRE STONEWALL DEMOCRATS",2006,7500,"NEW HAMPSHIRE DEMOCRATIC PARTY",7500,7500,1
"874","NEW YORK STATE LOG CABIN REPUBLICANS",1997,500,"0",0,0,0
"875","NM LESBIAN &GAY POLITICAL ALLIANCE",1996,250,"0",0,0,0
"876","NO NONSENSE IN 2006",2005,29613.72,"0",0,0,0
"877","NO NONSENSE IN NOVEMBER",2005,47265,"0",0,0,0
"878","NO ON 1 PROTECT MAINE EQUALITY",2009,4414,"MAINE DEMOCRATIC PARTY",4414,4414,1
"879","NO ON 8 NATIONAL CENTER FOR LESBIAN RIGHTS SOCIAL JUSTICE FUND",2008,614026,"0",0,0,0
"880","NO ON PROP 102 CMTE",2008,10000,"0",0,0,0
"881","NO ON PROPOSITION 8 CAMPAIGN FOR MARRIAGE EQUALITY",2008,1955754.55,"0",0,0,0
"882","NORTH CAROLINA EQUALITY",2000,500,"0",0,0,0
"883","OHIO STONEWALL DEMOCRATS",2006,5300,"OHIO DEMOCRATIC PARTY",5000,5000,0.943396226415094
"884","OHIOANS FOR GROWTH & EQUALITY",2004,20000,"0",0,0,0
"885","OK GLBT PAC",2012,1000,"OKLAHOMA DEMOCRATIC PARTY",1000,1000,1
"886","OKLAHOMA STONEWALL DEMOCRATS",2008,3949.99,"0",0,0,0
"887","OKLAHOMA STONEWALL DEMOCRATS",2006,100,"0",0,0,0
"888","ONE COLORADO",2019,2200,"0",0,0,0
"889","ONE COLORADO",2018,62700,"COLORADO DEMOCRATIC PARTY",2500,2500,0.0398724082934609
"890","ONE COLORADO",2016,58822.68,"COLORADO DEMOCRATIC PARTY",3050,3050,0.0518507487248116
"891","ONE COLORADO",2014,39000,"COLORADO DEMOCRATIC PARTY",2000,2000,0.0512820512820513
"892","ONE COLORADO",2012,54600,"COLORADO DEMOCRATIC PARTY",2000,2000,0.0366300366300366
"893","ONE COLORADO",2010,3250,"DEMOCRATIC SENATE CAMPAIGN FUND OF COLORADO",250,250,0.0769230769230769
"894","ONE IOWA",2008,17344,"IOWA DEMOCRATIC PARTY",17344,17344,1
"895","ONE IOWA",2007,265,"IOWA DEMOCRATIC PARTY",265,265,1
"896","OREGON GAY & LESBIAN LAW ASSOCIATION",2004,1000,"0",0,0,0
"897","OREGON UNITED FOR MARRIAGE",2013,225,"OREGON DEMOCRATIC PARTY",225,225,1
"898","OUTFRONT MINNESOTA",2013,40000,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",40000,40000,1
"899","OUTFRONT MINNESOTA",2012,504402.66,"0",0,0,0
"900","OUTFRONT MINNESOTA",2010,20900,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",11400,20900,1
"901","OUTFRONT MINNESOTA",2010,20900,"DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA",9500,20900,1
"902","OUTFRONT MINNESOTA",2008,250,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",250,250,1
"903","OUTLOOK MEDIA",2004,1048,"0",0,0,0
"904","PAKISTANI AMERICAN COMMUNITY OF ATLANTA",2007,200,"0",0,0,0
"905","PAKISTANI AMERICAN COMMUNITY OF ATLANTA",2006,750,"0",0,0,0
"906","PARENTS & FRIENDS OF LESBIANS",2000,60,"COLORADO DEMOCRATIC PARTY",60,60,1
"907","PARENTS FAMILIES & FRIENDS OF LESBIANS & GAYS (PFLAG) NATIONAL OFFICE",2008,24150,"0",0,0,0
"908","PARENTS FAMILIES FRIENDS OF LESBIANS & GAYS/PFLAG",2004,290,"0",0,0,0
"909","PFLAG ANN ARBOR",2004,100,"0",0,0,0
"910","PFLAG BOULDER",2006,1852,"0",0,0,0
"911","PFLAG CENTRAL OREGON",2004,100,"0",0,0,0
"912","PFLAG CLACKAMAS COUNTY",2004,100,"0",0,0,0
"913","PFLAG CORVALLIS-ALBANY CHAPTER",2004,100,"0",0,0,0
"914","PFLAG DENVER",2006,639.04,"0",0,0,0
"915","PFLAG DETROIT",2004,1000,"0",0,0,0
"916","PFLAG DILLON SUMMIT COUNTY",2006,250,"0",0,0,0
"917","PFLAG DOWNRIVER",2008,200,"0",0,0,0
"918","PFLAG DOWNRIVER",2004,100,"0",0,0,0
"919","PFLAG FOREST GROVE",2004,100,"0",0,0,0
"920","PFLAG FOX CITIES",2006,1000,"0",0,0,0
"921","PFLAG GENESEE COUNTY",2004,550,"0",0,0,0
"922","PFLAG LANSING",2004,500,"0",0,0,0
"923","PFLAG MADISON",2006,1100,"0",0,0,0
"924","PFLAG OF PUEBLO",2006,100,"0",0,0,0
"925","PFLAG OF WASHINGTON METROPOLITAN AREA",2006,10120,"0",0,0,0
"926","PFLAG TREASURE VALLEY",2006,3000,"0",0,0,0
"927","PFLAG TRI-CITIES",2004,100,"0",0,0,0
"928","PFLAG VALLEY COUNTY",2006,169.15,"0",0,0,0
"929","PFLAG-EUGENE/SPRINGFIELD",2004,500,"0",0,0,0
"930","PFLAG-KC",2004,200,"0",0,0,0
"931","PFLAG/AUSTIN",2005,74,"0",0,0,0
"932","PFLAG/DENTON COUNTY",2005,488,"0",0,0,0
"933","PFLAG/EL PASO",2005,50,"0",0,0,0
"934","PFLAG/FORT WORTH",2005,200,"0",0,0,0
"935","PINELLAS STONEWALL PAC",2018,1000,"0",0,0,0
"936","PINELLAS STONEWALL PAC",2014,1200,"0",0,0,0
"937","PINELLAS STONEWALL PAC",2012,1750,"0",0,0,0
"938","PINELLAS STONEWALL PAC",2010,300,"0",0,0,0
"939","PINELLAS STONEWALL PAC",2008,1050,"0",0,0,0
"940","PLAG",2009,75,"0",0,0,0
"941","PRIDE AT WORK",2005,100,"0",0,0,0
"942","PRIDE DAY CMTE",2004,450,"0",0,0,0
"943","PRIDE FOUNDATION",2018,19000,"0",0,0,0
"944","PRIDE FOUNDATION",2012,87870,"0",0,0,0
"945","PRIDE FOUNDATION",2009,36353,"0",0,0,0
"946","PRIDE FOUNDATION",2004,1000,"0",0,0,0
"947","PRIDE FOUNDATION",2000,75,"WASHINGTON STATE DEMOCRATIC PARTY",75,75,1
"948","PRIDE INC",2004,15066.72,"0",0,0,0
"949","PRIDE OF PHILADELPHIA ELECTION COMM",1998,1000,"0",0,0,0
"950","PRIDE OF PHILADELPHIA ELECTION COMM",1998,250,"0",0,0,0
"951","PRIDE OF PHILADELPHIA ELECTION COMM",1998,250,"0",0,0,0
"952","PRIDE PAC",2010,1000,"0",0,0,0
"953","PRIDE PAC",2006,150,"0",0,0,0
"954","PRIDE PROJECT",2012,7900,"0",0,0,0
"955","PRIDE SOURCE MEDIA",2004,379,"0",0,0,0
"956","PRIDE SOURCE MEDIA GROUP",2004,24995,"0",0,0,0
"957","PRIDEFEST",2006,10000,"0",0,0,0
"958","PRIVACY FUND",1998,250,"0",0,0,0
"959","PRIVACY FUND",1996,23100,"0",0,0,0
"960","PRIVACY FUND",1994,10250,"0",0,0,0
"961","PRIVACY FUND",1994,500,"0",0,0,0
"962","PRIVACY FUND",1992,6000,"0",0,0,0
"963","PRIVACY FUND",1990,4500,"0",0,0,0
"964","PRIVACY FUND/HANDS OFF WA",1998,250,"0",0,0,0
"965","PROGRESS PRINTING CORPORATION",2000,825,"0",0,0,0
"966","PROJECT 515",2014,17600,"0",0,0,0
"967","PROJECT 515",2013,40000,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",40000,40000,1
"968","PROJECT 515",2012,590749.19,"0",0,0,0
"969","PROJECT 515",2010,17850,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",8925,17850,1
"970","PROJECT 515",2010,17850,"DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA",8925,17850,1
"971","PROTECT MAINE EQUALITY",2009,31100,"0",0,0,0
"972","QLAW",2012,18200,"0",0,0,0
"973","RAINBOW ALLIANCE",1998,1750,"0",0,0,0
"974","RAINBOW BUSINESS & PROFESSIONAL ASSOCIATION",2009,1500,"0",0,0,0
"975","RAINBOW DEMOCRATIC CLUB",2006,175,"0",0,0,0
"976","RAINBOW DEMOCRATIC CLUB",2003,200,"FLORIDA DEMOCRATIC PARTY",200,200,1
"977","RAINBOW DEMOCRATIC CLUB",2002,100,"0",0,0,0
"978","RAINBOW EQUALITY",2010,700,"0",0,0,0
"979","RAINBOW EQUALITY",2008,2775,"0",0,0,0
"980","RAINBOW EQUALITY PAC",2008,50,"0",0,0,0
"981","RED WING PFLAG",2006,100,"0",0,0,0
"982","REPUBLICAN LIBERTY",2002,650,"0",0,0,0
"983","REPUBLICAN UNITY COALITION",2002,30000,"0",0,0,0
"984","RIGHT TO PRIVACY PAC",1996,4200,"0",0,0,0
"985","RIGHT TO PRIVACY PAC",1996,600,"0",0,0,0
"986","RIGHT TO PRIVACY PAC",1994,58100,"0",0,0,0
"987","RIGHT TO PRIVACY PAC",1992,55250,"0",0,0,0
"988","RIGHT TO PRIVACY PAC",1990,42497.35,"0",0,0,0
"989","ROANOKE VALLEY CHAPTER OF PFLAG",2006,200,"0",0,0,0
"990","SDC OF AR",2012,500,"0",0,0,0
"991","SEATTLE GAY NEWS",2008,1050,"0",0,0,0
"992","SEATTLE GAY NEWS",2004,1765,"0",0,0,0
"993","SEATTLE GAY NEWS",1996,1000,"0",0,0,0
"994","SEATTLE GAY NEWS",1994,480,"0",0,0,0
"995","SEATTLE GAY NEWS",1992,510,"0",0,0,0
"996","SEIBEL, MORGAN",2012,9.9,"0",0,0,0
"997","SOUTH CAROLINA EQUALITY COALITION",2018,3500,"0",0,0,0
"998","SOUTH CAROLINA EQUALITY COALITION",2014,12500,"0",0,0,0
"999","SOUTH CAROLINA EQUALITY COALITION",2012,1000,"0",0,0,0
"1000","SOUTH CAROLINA EQUALITY COALITION",2006,96603.65,"0",0,0,0
"1001","SOUTH CAROLINA STONEWALL DEMOCRATS",2009,800,"SOUTH CAROLINA DEMOCRATIC PARTY",800,800,1
"1002","SOUTHERN ARIZONA STONEWALL DEMOCRATS",2006,50,"0",0,0,0
"1003","SOUTHERN ARIZONA STONEWALL DEMOCRATS",2004,395,"ARIZONA DEMOCRATIC PARTY",395,395,1
"1004","SOUTHERN MAINE PRIDE",2009,100,"MAINE DEMOCRATIC PARTY",100,100,1
"1005","ST LOUIS NETWORK LLC",2004,805,"0",0,0,0
"1006","ST LOUIS STONEWALL DEMOCRATS",2012,140,"MISSOURI DEMOCRATIC PARTY",140,140,1
"1007","ST LOUIS STONEWALL DEMOCRATS",2010,1000,"0",0,0,0
"1008","STANDING TOGETHER & RECLAIMING THE STATE/STARS",2000,577,"0",0,0,0
"1009","STEVENS POINT GAY-STRAIGHT ALLIANCE",2006,75,"0",0,0,0
"1010","STONE WALL DEMOCRATES",2008,1000,"UTAH DEMOCRATIC PARTY",1000,1000,1
"1011","STONEWALL DEMO",1998,200,"0",0,0,0
"1012","STONEWALL DEMOCRATES",2006,250,"0",0,0,0
"1013","STONEWALL DEMOCRATIC CAUCUS",2016,700,"0",0,0,0
"1014","STONEWALL DEMOCRATIC CAUCUS",2014,900,"0",0,0,0
"1015","STONEWALL DEMOCRATIC CAUCUS",2012,2250,"0",0,0,0
"1016","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2016,1000,"0",0,0,0
"1017","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2012,500,"0",0,0,0
"1018","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2011,500,"0",0,0,0
"1019","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2010,750,"0",0,0,0
"1020","STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS",2008,2220,"0",0,0,0
"1021","STONEWALL DEMOCRATIC CLUB",2018,200,"0",0,0,0
"1022","STONEWALL DEMOCRATIC CLUB",2018,200,"0",0,0,0
"1023","STONEWALL DEMOCRATIC CLUB",2017,600,"0",0,0,0
"1024","STONEWALL DEMOCRATIC CLUB",2016,540,"0",0,0,0
"1025","STONEWALL DEMOCRATIC CLUB",2014,1000,"0",0,0,0
"1026","STONEWALL DEMOCRATIC CLUB",2014,100,"0",0,0,0
"1027","STONEWALL DEMOCRATIC CLUB",2012,500,"0",0,0,0
"1028","STONEWALL DEMOCRATIC CLUB",2011,700,"0",0,0,0
"1029","STONEWALL DEMOCRATIC CLUB",2010,1000,"0",0,0,0
"1030","STONEWALL DEMOCRATIC CLUB",2009,500,"0",0,0,0
"1031","STONEWALL DEMOCRATIC CLUB",2008,1000,"0",0,0,0
"1032","STONEWALL DEMOCRATIC CLUB",2008,150,"0",0,0,0
"1033","STONEWALL DEMOCRATIC CLUB",2006,150,"0",0,0,0
"1034","STONEWALL DEMOCRATIC CLUB",2004,250,"0",0,0,0
"1035","STONEWALL DEMOCRATIC CLUB",2002,4500,"0",0,0,0
"1036","STONEWALL DEMOCRATIC CLUB",2002,1000,"0",0,0,0
"1037","STONEWALL DEMOCRATIC CLUB",2000,850,"0",0,0,0
"1038","STONEWALL DEMOCRATIC CLUB - ISSUES & ADVOCACY CMTE",2003,3200,"0",0,0,0
"1039","STONEWALL DEMOCRATIC CLUB 1247892",2006,250,"0",0,0,0
"1040","STONEWALL DEMOCRATIC CLUB ISSUES & ADVOCACY CMTE",2006,852.68,"0",0,0,0
"1041","STONEWALL DEMOCRATIC CLUB OF ARKANSAS",2007,1500,"ARKANSAS DEMOCRATIC PARTY",1500,1500,1
"1042","STONEWALL DEMOCRATIC CLUB OF ARKANSAS",2006,1100,"ARKANSAS DEMOCRATIC PARTY",1000,1000,0.909090909090909
"1043","STONEWALL DEMOCRATIC CLUB OF ARKANSAS",2005,1500,"ARKANSAS DEMOCRATIC PARTY",1500,1500,1
"1044","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2018,5750,"CALIFORNIA DEMOCRATIC PARTY",500,500,0.0869565217391304
"1045","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2016,2150,"0",0,0,0
"1046","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2014,6500,"0",0,0,0
"1047","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2012,15890,"0",0,0,0
"1048","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2010,20774,"0",0,0,0
"1049","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2008,17800,"0",0,0,0
"1050","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2006,11750,"0",0,0,0
"1051","STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO",2004,1250,"0",0,0,0
"1052","STONEWALL DEMOCRATIC CLUB OF NEW YORK CITY",2016,500,"0",0,0,0
"1053","STONEWALL DEMOCRATIC CLUB OF NEW YORK CITY",2010,1000,"0",0,0,0
"1054","STONEWALL DEMOCRATIC CMTE",2006,250,"0",0,0,0
"1055","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2017,3547.25,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",3547.25,3547.25,1
"1056","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2016,1250,"0",0,0,0
"1057","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2015,250,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",250,250,1
"1058","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2012,500,"0",0,0,0
"1059","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2010,2525,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",2225,2225,0.881188118811881
"1060","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2009,1250,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",1250,1250,1
"1061","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2008,2650,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",2650,2650,1
"1062","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2006,2500,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",2500,2500,1
"1063","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2005,2250,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",2250,2250,1
"1064","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2004,1550,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",1250,1250,0.806451612903226
"1065","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2003,1000,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",1000,1000,1
"1066","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2002,1000,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",1000,1000,1
"1067","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2000,2648.09,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",2583.09,2648.09,1
"1068","STONEWALL DEMOCRATIC-FARMER-LABOR PARTY",2000,2648.09,"DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA",65,2648.09,1
"1069","STONEWALL DEMOCRATICS OF WNY",2008,250,"0",0,0,0
"1070","STONEWALL DEMOCRATS",2018,1000,"0",0,0,0
"1071","STONEWALL DEMOCRATS",2017,100,"0",0,0,0
"1072","STONEWALL DEMOCRATS",2016,250,"0",0,0,0
"1073","STONEWALL DEMOCRATS",2014,607,"0",0,0,0
"1074","STONEWALL DEMOCRATS",2012,1950,"0",0,0,0
"1075","STONEWALL DEMOCRATS",2010,2200,"0",0,0,0
"1076","STONEWALL DEMOCRATS",2009,500,"UTAH DEMOCRATIC PARTY",500,500,1
"1077","STONEWALL DEMOCRATS",2006,1601,"UTAH DEMOCRATIC PARTY",750,750,0.468457214241099
"1078","STONEWALL DEMOCRATS",2004,408,"0",0,0,0
"1079","STONEWALL DEMOCRATS",2003,105,"COLORADO DEMOCRATIC PARTY",105,105,1
"1080","STONEWALL DEMOCRATS",2002,100,"0",0,0,0
"1081","STONEWALL DEMOCRATS",2000,204,"0",0,0,0
"1082","STONEWALL DEMOCRATS OF ARIZONA",2014,40,"0",0,0,0
"1083","STONEWALL DEMOCRATS OF ARIZONA",2004,500,"ARIZONA DEMOCRATIC PARTY",500,500,1
"1084","STONEWALL DEMOCRATS OF ARKANSAS",2014,450,"0",0,0,0
"1085","STONEWALL DEMOCRATS OF ARKANSAS",2006,2785,"0",0,0,0
"1086","STONEWALL DEMOCRATS OF AUSTIN",2005,500,"0",0,0,0
"1087","STONEWALL DEMOCRATS OF BEXAR COUNTY",2010,1000,"0",0,0,0
"1088","STONEWALL DEMOCRATS OF CENTRAL MARYLAND",2014,642.27,"0",0,0,0
"1089","STONEWALL DEMOCRATS OF CENTRAL MARYLAND",2014,642.27,"0",0,0,0
"1090","STONEWALL DEMOCRATS OF CENTRAL MARYLAND",2014,642.27,"0",0,0,0
"1091","STONEWALL DEMOCRATS OF CENTRAL MARYLAND",2014,50,"0",0,0,0
"1092","STONEWALL DEMOCRATS OF CENTRAL MARYLAND",2010,3425,"0",0,0,0
"1093","STONEWALL DEMOCRATS OF CENTRAL OHIO",2018,450,"0",0,0,0
"1094","STONEWALL DEMOCRATS OF CENTRAL OHIO",2016,2300,"0",0,0,0
"1095","STONEWALL DEMOCRATS OF CENTRAL OHIO",2014,4500,"0",0,0,0
"1096","STONEWALL DEMOCRATS OF CENTRAL OHIO",2012,100,"0",0,0,0
"1097","STONEWALL DEMOCRATS OF CENTRAL OHIO",2010,1035,"OHIO DEMOCRATIC PARTY",1000,1000,0.966183574879227
"1098","STONEWALL DEMOCRATS OF CENTRAL OHIO",2009,250,"OHIO DEMOCRATIC PARTY",250,250,1
"1099","STONEWALL DEMOCRATS OF CENTRAL OHIO",2004,2000,"0",0,0,0
"1100","STONEWALL DEMOCRATS OF DALLAS",2018,3500,"0",0,0,0
"1101","STONEWALL DEMOCRATS OF DALLAS",2016,4600,"TEXAS DEMOCRATIC PARTY",900,900,0.195652173913043
"1102","STONEWALL DEMOCRATS OF DALLAS",2014,6530,"TEXAS DEMOCRATIC PARTY",100,100,0.0153139356814701
"1103","STONEWALL DEMOCRATS OF DALLAS",2013,700,"TEXAS DEMOCRATIC PARTY",200,200,0.285714285714286
"1104","STONEWALL DEMOCRATS OF DALLAS",2012,2905,"0",0,0,0
"1105","STONEWALL DEMOCRATS OF DALLAS",2010,1260,"0",0,0,0
"1106","STONEWALL DEMOCRATS OF DALLAS",2008,3159.9,"0",0,0,0
"1107","STONEWALL DEMOCRATS OF DALLAS",2004,450,"TEXAS DEMOCRATIC PARTY",250,250,0.555555555555556
"1108","STONEWALL DEMOCRATS OF DENTON COUNTY",2018,300,"0",0,0,0
"1109","STONEWALL DEMOCRATS OF DENTON COUNTY",2014,1714,"0",0,0,0
"1110","STONEWALL DEMOCRATS OF DENTON COUNTY",2012,160,"0",0,0,0
"1111","STONEWALL DEMOCRATS OF DENTON COUNTY",2008,13021.6,"TEXAS DEMOCRATIC PARTY",110,110,0.00844750261104626
"1112","STONEWALL DEMOCRATS OF EASTERN MISSOURI",2010,200,"0",0,0,0
"1113","STONEWALL DEMOCRATS OF MASSACHUSETTS",2016,1350,"0",0,0,0
"1114","STONEWALL DEMOCRATS OF MASSACHUSETTS",2014,400,"0",0,0,0
"1115","STONEWALL DEMOCRATS OF MASSACHUSETTS",2012,400,"0",0,0,0
"1116","STONEWALL DEMOCRATS OF MASSACHUSETTS",2011,200,"0",0,0,0
"1117","STONEWALL DEMOCRATS OF MASSACHUSETTS",2010,400,"0",0,0,0
"1118","STONEWALL DEMOCRATS OF MASSACHUSETTS",2008,650,"0",0,0,0
"1119","STONEWALL DEMOCRATS OF MASSACHUSETTS",2006,1000,"0",0,0,0
"1120","STONEWALL DEMOCRATS OF MASSACHUSETTS",2004,650,"0",0,0,0
"1121","STONEWALL DEMOCRATS OF NORTHERN NEVADA",2004,100,"0",0,0,0
"1122","STONEWALL DEMOCRATS OF PINELLAS",2016,250,"0",0,0,0
"1123","STONEWALL DEMOCRATS OF PINELLAS",2014,350,"0",0,0,0
"1124","STONEWALL DEMOCRATS OF PINELLAS",2006,17,"0",0,0,0
"1125","STONEWALL DEMOCRATS OF SAN ANTONIO",2018,500,"0",0,0,0
"1126","STONEWALL DEMOCRATS OF SAN ANTONIO",2016,2000,"0",0,0,0
"1127","STONEWALL DEMOCRATS OF SAN ANTONIO",2015,500,"0",0,0,0
"1128","STONEWALL DEMOCRATS OF SAN ANTONIO",2014,795,"0",0,0,0
"1129","STONEWALL DEMOCRATS OF SAN ANTONIO",2012,2546.05,"0",0,0,0
"1130","STONEWALL DEMOCRATS OF SAN ANTONIO",2010,3500,"0",0,0,0
"1131","STONEWALL DEMOCRATS OF SAN ANTONIO",2008,7000,"0",0,0,0
"1132","STONEWALL DEMOCRATS OF SAN ANTONIO",2006,100,"0",0,0,0
"1133","STONEWALL DEMOCRATS OF SAN ANTONIO",2005,1500,"0",0,0,0
"1134","STONEWALL DEMOCRATS OF SAN ANTONIO",2004,1300,"0",0,0,0
